COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
03005,No aplica,Calle,23381
03005,No aplica,Calle,23382
03005,No aplica,Calle,23383
03005,No aplica,Calle,23384
03005,Curva señalizada,Carretera,23385
03005,Curva sin señalizar,Carretera,23386
03005,Recta,Carretera,23387
03005,No aplica,Calle,23388
03005,Recta,Carretera,23389
03005,Curva señalizada,Carretera,23390
03005,Curva señalizada,Carretera,23391
03005,No aplica,Calle,23392
03005,No aplica,Calle,23393
03005,Se desconoce,Carretera,23394
00000,Recta,Carretera,23395
00000,Curva señalizada,Carretera,23396
00000,Recta,Carretera,23397
00000,Curva señalizada,Carretera,23398
00000,Curva sin señalizar,Carretera,23399
00000,Curva señalizada,Carretera,23400
00000,Recta,Carretera,23401
03014,Curva señalizada,Carretera,23402
03009,Curva señalizada,Carretera,23403
03009,No aplica,Calle,23404
03009,No aplica,Calle,23405
03009,No aplica,Calle,23406
03009,No aplica,Calle,23407
03009,Recta,Carretera,23408
03009,No aplica,Calle,23409
03009,Curva señalizada,Carretera,23410
03009,No aplica,Calle,23411
03009,Curva sin señalizar,Carretera,23412
03009,Curva señalizada,Carretera,23413
03009,Curva señalizada,Carretera,23414
03009,No aplica,Calle,23415
03009,Recta,Carretera,23416
03009,No aplica,Calle,23417
03009,No aplica,Calle,23418
03009,No aplica,Calle,23419
03009,No aplica,Calle,23420
03009,No aplica,Calle,23421
03009,No aplica,Calle,23422
03009,No aplica,Calle,23423
03009,No aplica,Calle,23424
03009,No aplica,Calle,23425
03009,No aplica,Calle,23426
03009,No aplica,Calle,23427
03009,No aplica,Calle,23428
03009,No aplica,Calle,23429
03009,No aplica,Calle,23430
03009,No aplica,Calle,23431
03009,No aplica,Calle,23432
03009,No aplica,Calle,23433
03009,No aplica,Calle,23434
03009,No aplica,Calle,23435
03009,No aplica,Calle,23436
03009,No aplica,Calle,23437
03009,No aplica,Calle,23438
03009,Curva señalizada,Carretera,23439
03009,No aplica,Calle,23440
03009,No aplica,Calle,23441
03009,No aplica,Calle,23442
