TIPO_ACCIDENTE,id
Por alcance                                        ,718
Por alcance                                        ,719
Caída                                              ,720
Atropello a personas                               ,721
Salida de la vía por la derecha con colisión       ,722
Salida de la vía por la derecha con vuelco         ,723
Fronto-lateral                                     ,724
Por alcance                                        ,725
Fronto-lateral                                     ,726
Fronto-lateral                                     ,727
Atropello a personas                               ,728
Fronto-lateral                                     ,729
Fronto-lateral                                     ,730
Salida de la vía por la izquierda con vuelco       ,731
Salida de la vía por la derecha otro tipo          ,732
Salida de la vía por la izquierda con colisión     ,733
Frontal                                            ,734
Por alcance                                        ,735
Salida de la vía por la izquierda con despeñamiento,736
Por alcance                                        ,737
Lateral                                            ,738
Por alcance                                        ,739
Fronto-lateral                                     ,740
Atropello a personas                               ,741
Por alcance                                        ,742
Fronto-lateral                                     ,743
Lateral                                            ,744
Frontal                                            ,745
Por alcance                                        ,746
Salida de la vía por la izquierda con colisión     ,747
Vuelco                                             ,748
Fronto-lateral                                     ,749
Salida de la vía por la derecha con colisión       ,750
Fronto-lateral                                     ,751
Fronto-lateral                                     ,752
Atropello a personas                               ,753
Frontal                                            ,754
Salida de la vía por la derecha con despeñamiento  ,755
Múltiple o en caravana                             ,756
Caída                                              ,757
Fronto-lateral                                     ,758
Lateral                                            ,759
Múltiple o en caravana                             ,760
Lateral                                            ,761
Por alcance                                        ,762
Frontal                                            ,763
Salida de la vía por la izquierda con vuelco       ,764
Salida de la vía por la derecha otro tipo          ,765
Salida de la vía por la derecha otro tipo          ,766
Frontal                                            ,767
Fronto-lateral                                     ,768
Fronto-lateral                                     ,769
Frontal                                            ,770
Frontal                                            ,771
Lateral                                            ,772
Frontal                                            ,773
Lateral                                            ,774
Múltiple o en caravana                             ,775
Por alcance                                        ,776
Frontal                                            ,777
Caída                                              ,778
Frontal                                            ,779
Fronto-lateral                                     ,780
Salida de la vía por la derecha con vuelco         ,781
Salida de la vía por la derecha con vuelco         ,782
Caída                                              ,783
Caída                                              ,784
Por alcance                                        ,785
Fronto-lateral                                     ,786
Salida de la vía por la derecha otro tipo          ,787
Lateral                                            ,788
Por alcance                                        ,789
Fronto-lateral                                     ,790
Salida de la vía por la derecha con vuelco         ,791
Múltiple o en caravana                             ,792
"Salida de la vía por la izquierda, otro tipo       ",793
Por alcance                                        ,794
Fronto-lateral                                     ,795
Frontal                                            ,796
Por alcance                                        ,797
Salida de la vía por la izquierda con despeñamiento,798
Fronto-lateral                                     ,799
Salida de la vía por la izquierda con vuelco       ,800
