KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
6.8,2,0,0,9704,03041,Curva señalizada,Carretera,Vuelco                                             ,,CV-746,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,7,MIÉRCOLES,13,Tarde,Dias laborables
618.9,1,0,0,9705,03041,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,AP-7,Autopista de peaje,Estatal,Descendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,7,MARTES,3,Madrugada,Dias laborables
621.0,4,0,0,9706,03041,Recta,Carretera,Otro tipo de accidente                             ,,AP-7,Autopista de peaje,Estatal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,9,VIERNES,17,Tarde,Dias laborables
629.5,1,0,0,9707,03041,Curva sin señalizar,Carretera,Salida de la vía por la izquierda con colisión     ,,AP-7,Autopista de peaje,Estatal,Ambos,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel verde,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,11,SÁBADO,19,Noche,Fines de semana
179.8,1,0,0,9708,03041,Recta,Carretera,Por alcance                                        ,,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel verde,,No,No,No,No,No,No,Sí,2019,11,JUEVES,18,Noche,Dias laborables
,1,0,0,9709,00000,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,"Provincial, Cabildo/Consell",Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,MIÉRCOLES,11,Mañana,Dias laborables
0.0,1,0,0,9710,00000,Recta,Carretera,Fronto-lateral                                     ,CV-740,CV-747,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,Sí,No,No,Sí,2019,6,MARTES,16,Tarde,Dias laborables
10.0,1,0,0,9711,00000,Curva sin señalizar,Carretera,Salida de la vía por la izquierda con vuelco       ,,CV-740,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,6,JUEVES,9,Mañana,Dias laborables
0.9,2,0,0,9712,00000,Curva señalizada,Carretera,Múltiple o en caravana                             ,,CV-737,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,9,LUNES,11,Mañana,Dias laborables
,0,1,0,9713,00000,No aplica,Calle,Salida de la vía por la derecha otro tipo          ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,7,VIERNES,21,Noche,Dias laborables
