ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,4,LUNES,7,Mañana,Dias laborables,8121
2018,3,JUEVES,8,Mañana,Dias laborables,8122
2018,5,JUEVES,8,Mañana,Dias laborables,8123
2018,5,VIERNES,12,Tarde,Dias laborables,8124
2018,5,SÁBADO,15,Tarde,Fines de semana,8125
2018,6,SÁBADO,21,Noche,Fines de semana,8126
2018,6,JUEVES,12,Tarde,Dias laborables,8127
2018,6,JUEVES,9,Mañana,Dias laborables,8128
2018,7,MARTES,15,Tarde,Dias laborables,8129
2018,7,MARTES,18,Noche,Dias laborables,8130
2018,7,MARTES,20,Noche,Dias laborables,8131
2018,8,SÁBADO,23,Noche,Fines de semana,8132
2018,5,MARTES,12,Tarde,Dias laborables,8133
2018,5,VIERNES,7,Mañana,Dias laborables,8134
2018,5,VIERNES,2,Madrugada,Dias laborables,8135
2018,7,VIERNES,15,Tarde,Dias laborables,8136
2018,6,VIERNES,11,Mañana,Dias laborables,8137
2018,7,VIERNES,14,Tarde,Dias laborables,8138
2018,8,DOMINGO,14,Tarde,Fines de semana,8139
2018,9,LUNES,14,Tarde,Dias laborables,8140
2018,11,MIÉRCOLES,14,Tarde,Dias laborables,8141
2018,11,JUEVES,17,Tarde,Dias laborables,8142
2018,1,LUNES,14,Tarde,Dias laborables,8143
2018,2,MIÉRCOLES,3,Madrugada,Dias laborables,8144
2018,4,MARTES,11,Mañana,Dias laborables,8145
2018,4,SÁBADO,22,Noche,Fines de semana,8146
2018,1,DOMINGO,9,Mañana,Fines de semana,8147
2018,1,SÁBADO,18,Noche,Fines de semana,8148
2018,2,DOMINGO,10,Mañana,Fines de semana,8149
2018,2,LUNES,16,Tarde,Dias laborables,8150
2018,4,DOMINGO,11,Mañana,Fines de semana,8151
2018,10,SÁBADO,8,Mañana,Fines de semana,8152
2018,10,JUEVES,14,Tarde,Dias laborables,8153
2018,11,DOMINGO,13,Tarde,Fines de semana,8154
2018,12,VIERNES,16,Tarde,Dias laborables,8155
2018,2,VIERNES,12,Tarde,Dias laborables,8156
2018,3,SÁBADO,22,Noche,Fines de semana,8157
2018,10,VIERNES,10,Mañana,Dias laborables,8158
2018,5,DOMINGO,11,Mañana,Fines de semana,8159
2018,12,JUEVES,13,Tarde,Dias laborables,8160
2018,1,SÁBADO,16,Tarde,Fines de semana,8161
2018,1,DOMINGO,9,Mañana,Fines de semana,8162
2018,1,MIÉRCOLES,15,Tarde,Dias laborables,8163
2018,1,DOMINGO,13,Tarde,Fines de semana,8164
2018,1,MARTES,0,Madrugada,Dias laborables,8165
2018,1,MARTES,9,Mañana,Dias laborables,8166
