ID_ACCIDENTE,KM,TOTAL_HG24H,TOTAL_HL24H,TOTAL_MU24H
2502,125.6,0,1,0
2503,121.7,0,3,0
2504,123.7,0,1,0
2505,676.5,0,2,0
2506,673.0,0,1,0
2507,,0,1,0
2508,668.4,0,1,0
2509,,0,1,0
2510,124.2,0,1,0
2511,128.6,1,2,0
2512,6.5,1,0,0
2513,,0,1,0
2514,4.8,0,1,0
2515,123.6,1,0,1
2516,,0,1,0
2517,,0,1,0
2518,,0,1,0
2519,,0,1,0
2520,,0,1,0
2521,,0,1,0
2522,,0,1,0
2523,124.7,0,4,0
2524,129.5,0,1,0
2525,,0,1,0
2526,676.5,0,2,0
2527,,0,1,0
2528,0.2,2,3,0
2529,,0,1,0
2530,,0,1,0
2531,,0,1,0
2532,,0,1,0
2533,,0,0,1
2534,,1,0,0
2535,,1,0,0
2536,,0,1,0
2537,,0,2,0
2538,,0,1,0
2539,,1,0,0
2540,4.0,0,1,0
2541,7.2,1,0,0
2542,,0,1,0
2543,19.2,0,2,0
2544,,0,2,0
2545,23.3,0,1,0
2546,20.6,0,1,0
2547,11.0,0,1,0
2548,11.0,0,1,0
2549,0.2,0,1,0
2550,,0,2,0
2551,,1,0,0
2552,,0,1,0
2553,0.5,0,1,0
2554,735.5,0,1,0
2555,1.0,1,0,0
2556,,0,1,0
2557,,0,1,0
2558,,0,1,0
2559,0.0,0,1,0
2560,,0,1,0
2561,0.0,0,2,0
2562,0.5,0,1,0
2563,803.4,0,1,0
2564,1.3,0,1,0
2565,,1,0,0
2566,,1,0,0
2567,,0,1,0
2568,804.0,0,1,0
2569,2.7,0,2,0
2570,,0,2,0
2571,5.9,0,1,0
2572,,1,0,0
2573,,0,2,0
2574,0.0,0,0,1
2575,,0,2,0
2576,,0,1,0
2577,,0,1,0
2578,5.5,0,1,0
2579,799.0,0,1,0
2580,3.6,0,1,0
2581,,0,1,0
2582,,0,1,0
2583,5.2,0,1,0
2584,2.7,0,1,0
2585,,0,1,0
2586,803.3,0,1,0
2587,803.9,1,2,0
2588,,0,1,0
2589,797.8,0,1,0
2590,803.0,0,2,0
2591,23.3,0,1,0
2592,693.8,0,1,0
2593,538.8,0,1,0
2594,644.9,0,1,0
2595,540.85,0,2,0
2596,,0,1,0
2597,695.75,0,2,0
2598,,0,1,0
2599,,0,1,0
2600,,0,1,0
2601,,0,1,0
2602,,0,2,0
2603,,0,1,0
2604,,0,3,0
2605,,0,1,0
2606,,0,1,0
2607,,0,1,0
2608,10.1,0,1,0
2609,,0,1,0
2610,,0,1,0
2611,539.85,0,1,0
2612,,0,2,0
2613,,0,2,0
2614,,0,1,0
2615,,0,1,0
2616,1.0,1,0,0
2617,695.75,0,1,0
2618,,0,1,0
2619,542.2,0,1,0
2620,,0,3,0
2621,,0,1,0
2622,,0,4,0
2623,704.4,0,1,0
2624,710.0,0,1,0
2625,525.2,0,1,0
2626,706.2,0,1,0
2627,703.7,0,2,0
2628,706.1,0,1,0
2629,0.0,0,2,0
2630,707.4,0,1,0
2631,711.0,0,1,0
2632,1.5,0,1,0
2633,706.2,1,0,0
2634,1.5,0,2,0
2635,16.1,0,1,0
2636,707.7,0,1,0
2637,710.9,0,1,0
2638,529.5,0,3,0
2639,531.0,0,2,0
2640,712.0,0,1,0
2641,528.7,0,2,0
2642,710.95,0,1,0
2643,0.5,0,1,0
2644,525.0,0,1,0
2645,706.7,0,1,0
2646,527.5,0,7,0
2647,706.6,0,1,0
2648,706.73,0,6,0
2649,1.2,0,2,0
2650,17.3,0,1,0
2651,2.3,0,1,0
2652,9.8,0,1,0
2653,,0,1,0
2654,,0,1,0
2655,,0,2,0
2656,,0,1,0
2657,,0,1,0
2658,,0,1,0
2659,,0,1,0
2660,,0,1,0
2661,,0,1,0
2662,,0,1,0
2663,,0,5,0
2664,,0,1,0
2665,,1,0,0
2666,15.5,2,0,0
2667,,0,2,0
2668,,0,2,0
2669,,0,1,0
2670,,0,1,0
2671,,0,2,0
2672,,0,2,0
2673,,0,1,0
2674,709.5,0,2,0
2675,10.6,0,1,0
2676,523.0,0,1,0
2677,,0,2,0
2678,3.8,0,1,0
2679,1.0,0,0,1
2680,1.2,0,1,0
2681,16.1,0,3,0
2682,1.0,0,2,0
2683,,0,1,0
2684,5.8,1,1,0
2685,5.05,0,1,0
2686,4.4,1,0,0
2687,,0,1,0
2688,,0,1,0
2689,,0,1,0
2690,,0,1,0
2691,4.8,0,1,0
2692,,0,1,0
2693,,0,1,0
2694,,0,1,0
2695,3.8,0,1,0
2696,5.6,0,3,0
2697,,1,1,0
2698,,0,1,0
2699,,0,2,0
2700,6.5,0,1,0
2701,3.8,0,1,0
2702,3.0,0,1,0
2703,6.4,0,1,0
2704,,0,1,0
2705,4.4,0,1,0
2706,,0,1,0
2707,,0,3,0
2708,204.3,0,2,0
2709,,1,0,0
2710,,0,2,0
2711,,0,1,0
2712,184.8,0,1,0
2713,,0,1,0
2714,6.9,0,1,0
2715,2.9,0,1,0
2716,13.5,0,1,0
2717,7.6,0,2,0
2718,,0,2,0
2719,,0,1,0
2720,,0,1,0
2721,,0,1,0
2722,,0,1,0
2723,,0,1,0
2724,4.3,0,1,0
2725,,0,1,0
2726,5.5,0,2,0
2727,1.0,0,1,0
2728,,0,2,0
2729,,0,2,0
2730,1.8,0,1,0
2731,,0,2,0
2732,,0,2,0
2733,,0,1,0
2734,0.0,0,1,0
2735,,0,1,0
2736,7.0,0,1,0
2737,5.7,0,1,0
2738,0.0,0,1,0
2739,,0,1,0
2740,7.3,0,1,0
2741,,0,1,0
2742,,0,1,0
2743,,0,1,0
2744,186.1,2,2,0
2745,2.8,0,1,1
2746,,0,1,0
2747,9.7,0,1,0
2748,204.0,0,1,0
2749,,0,1,0
2750,,0,1,0
2751,,0,2,0
2752,,0,1,0
2753,5.0,0,2,0
2754,,0,1,0
2755,3.8,0,2,0
2756,,0,1,0
2757,,0,1,0
2758,16.0,0,1,0
2759,,0,1,0
2760,,0,1,0
2761,,0,2,0
2762,12.2,0,1,0
2763,,0,1,0
2764,,1,0,0
2765,,0,1,0
2766,16.2,0,4,0
2767,,0,1,0
2768,,0,1,0
2769,11.8,0,2,0
2770,2.05,0,2,0
2771,8.0,0,2,0
2772,730.5,0,1,0
2773,8.5,0,2,0
2774,723.8,1,0,0
2775,522.7,0,1,0
2776,1.3,0,1,0
2777,713.2,0,1,0
2778,95.0,0,2,0
2779,26.5,0,1,0
2780,0.0,0,1,0
2781,6.7,0,1,0
2782,725.9,0,1,0
2783,6.3,0,2,0
2784,0.0,0,2,0
2785,13.1,0,1,0
2786,729.3,1,0,0
2787,30.5,0,1,0
2788,726.15,1,0,0
2789,4.4,0,1,0
2790,0.1,0,6,0
2791,7.3,0,2,0
2792,14.4,0,1,0
2793,8.4,0,1,0
2794,5.0,0,1,0
2795,30.0,0,1,0
2796,524.6,1,2,0
2797,14.0,0,1,0
2798,517.9,0,1,0
2799,523.2,1,7,0
2800,712.9,0,1,0
2801,14.3,0,1,0
2802,0.5,0,1,0
2803,514.8,0,2,0
2804,3.5,0,1,0
2805,1.8,0,2,0
2806,3.4,0,3,0
2807,4.8,0,1,0
2808,3.3,0,2,0
2809,715.0,0,1,0
2810,7.3,0,3,0
2811,712.9,0,1,0
2812,724.05,0,1,0
2813,710.8,0,2,0
2814,8.7,0,2,0
2815,724.3,0,3,0
2816,0.5,0,1,0
2817,715.0,0,2,0
2818,,0,1,0
2819,,0,1,0
2820,,0,1,0
2821,,0,1,0
2822,,0,1,0
2823,,0,1,0
2824,,0,3,0
2825,,0,3,0
